<s>,0.05945745913244948
A,0.33988636363636365
AA,0.3888888888888889
AAA,0.6923076923076923
AAAT,0.5
AADT,0.5
AAR,0.75
ABC,0.5051020408163265
AC,0.5625
ACC,0.675
ACE,0.4772727272727273
AD,0.24193548387096775
ADOT,0.75
AFC,0.6428571428571429
AG,0.5625
AH,0.375
AI,0.3886363636363636
AIDS,0.6
AIF,0.515625
AIL,0.5
AIR,0.25
AJ,0.1875
AK,0.75
AL,0.525
ALDS,0.75
ALL,0.375
AM,0.5625
AMC,0.75
AMISOM,0.5
AML,0.35833333333333334
AMNH,0.46875
ANA,0.75
ANZAC,0.6428571428571429
ANZACs,0.5892857142857143
AOC,0.6071428571428571
AOL,0.5
AOT,0.75
AP,0.27
APF,0.46153846153846156
APL,0.625
AQHA,0.4090909090909091
ARIA,0.3409090909090909
ARS,0.75
ARVN,0.5706521739130435
ASCAP,0.75
ASI,0.75
ASIN,0.25
ASTRA,0.375
AT,0.225
ATP,0.38636363636363635
ATV,0.5
AU,0.5357142857142857
AV,0.027777777777777776
AVALANCHE,0.75
AVRE,0.1875
AVREs,0.75
Aagadu,0.75
Aalborg,0.75
Aaron,0.5192307692307693
Abba,0.25
Abbes,0.5625
Abbey,0.4166666666666667
Abbot,0.421875
Abbott,0.6666666666666666
Abby,0.5
Abd,0.4017857142857143
Abdi,0.5
Abdirashid,0.25
Abdu,0.25
Abdul,0.45
Abdullahi,0.75
Abe,0.65625
Aberdeen,0.48214285714285715
Abierto,0.5
Abietinae,0.75
Abingdon,0.5454545454545454
Able,0.5625
Abolition,0.5
Aboriginal,0.75
About,0.4444444444444444
Aboutcom,0.5625
Above,0.35714285714285715
Abraham,0.35526315789473684
Abrahamic,0.375
Abramowitz,0.6666666666666666
Abrams,0.6964285714285714
Absorption,0.5
Abu,0.020642201834862386
Abuse,0.5625
Abusir,0.4375
Abydos,0.5625
Abyss,0.5
Academic,0.6666666666666666
Academics,0.75
Academies,0.45
Academy,0.24295774647887325
Acapulco,0.3
Accelerated,0.25
Accepting,0.5
Accident,0.75
Accolades,0.75
According,0.0014851485148514852
Accordingly,0.675
Accounts,0.45
Accrington,0.75
Ace,0.04591836734693878
Achaea,0.75
Achaemenid,0.5
Achievement,0.3
Achille,0.5357142857142857
Ackerson,0.75
Ackroyd,0.75
Acorns,0.6
Acoustic,0.5625
Acre,0.6
Acres,0.75
Acropolis,0.1875
Across,0.35526315789473684
Act,0.2608695652173913
Acting,0.625
Action,0.4453125
